"","11","12","14","10H","11H","13H","25H","26H","28_27H","9H"
"ENSG00000267265.6",8.36782267865605,8.44517790903385,7.93913301389919,7.37521355492022,7.46315916563135,8.03156493558343,7.96087378952015,7.17065520673199,7.44196732506303,7.84325833730348
"ENSG00000267270.7",7.19000529441747,7.04085503841856,7.22139063248267,7.00592570626439,7.39468098011273,7.1826372395395,7.44799388026535,7.02102688719482,6.8542033758125,7.38831597824707
"ENSG00000267272.5",6.49431106492713,6.09969965194483,6.85142101015336,6.57160158533782,5.7209510877469,5.90362869017371,6.36200491778056,6.24336565754215,6.03987585625742,6.56257876512305
"ENSG00000267274.1",6.35448669012687,6.40012756435487,6.60335235522882,6.41619080977666,6.52246897014585,6.56245748214575,6.66586836718489,6.53135174791523,6.11563286428831,6.23157456321098
"ENSG00000267275.1",5.71853443414031,5.58004176995954,5.49789098323059,5.84433290597058,5.89159951945343,5.5174025970905,6.4740894496027,5.83548115054409,5.73195151124773,5.83137981632029
"ENSG00000267277.2",5.78210462256625,6.6746249747367,6.30980875753028,6.43998009829802,6.16215827164593,6.36840653751237,5.30410474030569,6.64844320203407,6.73257558233183,6.56257876512305
"ENSG00000267278.6",8.05987257443222,8.04702039366118,7.85929745483201,8.25719571241308,7.94546473477103,7.79215640468478,7.32889345711386,8.17675508171369,8.01398645686356,8.42234605448696
"ENSG00000267279.3",5.8379222129715,6.65027331209335,6.49641537991209,5.84433290597058,6.50092546892218,6.26461080882551,6.82815214786544,6.27125037406561,6.88667791378645,5.83137981632029
"ENSG00000267283.1",8.02309576813563,7.99761411812403,8.06265779958484,8.45254456504203,8.09049897475093,8.0509541861638,8.20883249826312,8.06794795674353,8.40629563736717,8.03124038384863
"ENSG00000267285.1",6.18854166385279,5.81839544199754,5.91284555681199,5.30410474030569,5.30410474030569,5.60547999622969,5.30410474030569,5.71663087044242,6.36098677804877,5.30410474030569
"ENSG00000267287.1",5.8379222129715,5.7394116426616,5.8145340695278,6.13441396340085,6.09513799294061,5.93943501876353,6.03824045158459,6.24336565754215,5.73195151124773,5.78588051921361
"ENSG00000267288.2",6.55728230304417,6.82083800219583,6.42315625330694,6.1989561668355,6.78465692419446,6.73870854555969,7.38981688594846,7.0981323299694,6.87055553188631,5.60965290413382
"ENSG00000267296.2",7.54414009201542,7.13325052057715,7.0632868530006,7.87599772924183,7.35385914703829,7.59857785657071,8.17601352500394,6.70241055770115,7.47223564866153,7.13819661142851
"ENSG00000267298.1",6.24758064244826,5.91743053967146,6.23779322768373,6.28694956986713,6.47889835384705,6.21927400920048,5.88680343451795,5.97401953130243,5.7975433728192,6.25484239460144
"ENSG00000267303.1",5.30410474030569,5.97497948178747,5.30410474030569,5.30410474030569,7.35385914703829,5.30410474030569,5.30410474030569,5.30410474030569,5.30410474030569,5.30410474030569
"ENSG00000267309.1",6.55728230304417,6.6746249747367,6.78912671679678,6.75924034297104,6.84924977019468,6.59397073749447,6.80912063810905,7.38592690285318,7.1052414140844,7.04581751571246
"ENSG00000267312.1",6.79311992483543,6.83132645275795,6.90084982868588,6.87372049938195,7.40468772412154,6.81710933486176,6.72957284313394,7.66970965102257,7.3898988657891,7.6781163624192
"ENSG00000267314.1",5.30410474030569,5.94689139813129,6.02229294071493,6.59194600723812,5.30410474030569,6.19562246348533,6.41972524155783,5.30410474030569,5.30410474030569,6.01481050313275
"ENSG00000267317.2",8.03546399790367,8.02253873713769,8.10148984776235,8.10392174187337,7.97181168559709,8.27696713317459,7.94526273957795,8.13197806867526,8.26901562782175,8.08537735486121
"ENSG00000267321.4",7.85828677646544,7.80915878798622,7.81283625387708,8.0674324164896,7.95209907440607,7.82661140734272,8.22174640662979,7.60427561242977,8.15940918658372,7.79639567611601
"ENSG00000267322.3",11.5010019855847,12.2178103773799,11.7287548504274,11.4816122469814,11.665928991321,11.1922600413627,11.216366306458,11.9645933514084,11.7220186271284,12.8441598425228
"ENSG00000267328.1",6.47239318866684,5.7394116426616,6.0469661490144,5.64696728862549,5.7848856635458,5.86540506108933,5.94156840893025,5.88555111476334,6.03987585625742,5.83137981632029
"ENSG00000267336.1",6.12470987498275,5.85349479085598,5.99666725616617,5.89521520812929,5.7209510877469,5.72954586590965,5.30410474030569,6.05145510612042,5.30410474030569,5.73541511403141
"ENSG00000267338.1",6.30268643279375,5.64180110088903,5.96997861050974,5.30410474030569,5.64485094672854,5.67287924374726,5.56611020715188,5.30410474030569,5.73195151124773,5.91184035319929
"ENSG00000267342.1",6.30268643279375,6.29963847482048,6.30980875753028,6.34091061023087,6.58444683210626,6.09305183252806,5.30410474030569,6.18457420160212,6.30606171383186,6.45864482074512
"ENSG00000267345.1",5.97707685557697,5.81839544199754,5.84937588524839,6.34091061023087,5.64485094672854,5.60547999622969,5.82598595181055,5.71663087044242,5.30410474030569,5.30410474030569
"ENSG00000267346.1",5.64287099196959,6.20592554987108,5.99666725616617,5.94184721382742,6.19357672457294,5.97321320325003,5.30410474030569,6.08708137532848,5.7975433728192,5.98234571054588
"ENSG00000267348.3",6.82526328320759,6.75575988059912,6.60335235522882,6.28694956986713,6.54355487007899,6.59397073749447,5.756677443076,7.00768219994296,7.19513584148999,6.6107703545061
"ENSG00000267360.6",5.30410474030569,5.97497948178747,5.57795463288444,5.30410474030569,5.30410474030569,5.30410474030569,5.30410474030569,5.30410474030569,6.73257558233183,5.91184035319929
"ENSG00000267364.3",7.10553171284257,7.36854679283386,7.25796353314084,7.17430085479969,7.33295139841054,7.16394075897306,6.70875307017017,7.56168123948691,7.13160075989068,7.99564893327632
"ENSG00000267365.1",8.20338427243695,7.98920455193335,8.52715668897989,7.81810614663186,8.08450036870914,8.48912443266535,9.1011432984982,7.73969000831282,8.65886123257622,7.8829785164354
"ENSG00000267368.1",9.71585436086491,10.4654091495253,10.1913717539496,10.7920277554758,10.3627132011297,10.7381888120008,9.8497635119725,10.3819355477979,10.8112029587508,9.40693382977946
"ENSG00000267374.3",5.30410474030569,5.81839544199754,5.88202872694803,5.30410474030569,6.05916165031704,5.77933624552508,5.30410474030569,5.30410474030569,5.85512356207373,6.13107922172265
