"","21","22","23","24","26","10H","11H","13H","25H","26H","28_27H","9H"
"ENSG00000278383.1",5.81263493537046,5.68499517470882,5.89999833052583,5.77653716134751,5.39131217934208,5.15255379677431,6.06171177056503,5.847804215888,5.15255379677431,5.77531650285521,6.08372991102497,6.09721878666344
"ENSG00000278390.6",6.38934424435165,5.98750207867314,6.36955344005749,6.11765972156884,5.56515989928839,6.15263079835995,6.00074006969286,5.87809630318568,5.41225196691816,6.98333159352084,5.79445962403936,5.82638853334779
"ENSG00000278416.1",6.11473221908239,6.34521276225812,6.0254689281664,6.21742991111856,6.06312704957434,5.78372769417839,6.24557872124532,5.36402467667527,5.15255379677431,5.15255379677431,5.15255379677431,6.64986526241795
"ENSG00000278434.1",7.45150454180335,7.38990090685752,7.41900318685721,7.2191867357814,7.01942502156171,7.31322344896353,7.58533807384025,7.10588967941809,6.5031030854537,7.36118598219432,7.24575950458055,7.20048730181893
"ENSG00000278463.2",6.38934424435165,6.54023022256371,6.55976416377736,7.4122740156817,6.63549851238473,7.4729649847329,6.29184625652662,6.74973195672273,6.56635707062719,7.58841797559662,6.74718660233748,7.33335659556349
"ENSG00000278467.1",7.06232709238854,6.88252132774684,6.94366961066263,6.82381073449903,7.0076285875756,6.87902729020914,6.54902814047228,6.91099792917722,6.14031295448289,6.5755637280283,6.44840997677597,6.48187441599444
"ENSG00000278475.1",5.91259561486548,5.945728795616,5.74590082503305,5.77653716134751,6.22319351074855,6.00703077307119,5.48928702524227,5.907077036833,5.66987567202799,6.13960323395921,6.14167678296454,5.85865044855482
"ENSG00000278493.1",5.99993382250596,6.20031179388755,6.16652076709825,5.89996121494669,6.09199182471406,5.78372769417839,5.86134540716086,6.03665324532264,5.41225196691816,6.11278908814998,6.08372991102497,5.97420181059485
"ENSG00000278530.5",6.04006307581882,5.15255379677431,5.41940023428802,5.87124254158968,5.82259704097208,5.73756249857837,5.89887290327423,5.57437020271001,5.15255379677431,5.6800372887781,6.05315776617633,5.15255379677431
"ENSG00000278535.5",6.95514357277004,7.27464956461578,6.92796363258457,7.02823027375198,7.42770297127609,7.43909823571138,7.49126617456364,7.47662146567407,6.70113723279477,7.75664217995908,7.10454930090123,7.81979586710279
"ENSG00000278540.5",9.99902340961838,9.96526207712571,9.9916754615452,9.08181941417074,10.4310427700004,9.94530743354264,9.76278580133785,9.76824688719077,9.95936474969582,10.0595542946303,10.244844479644,9.99163595432888
"ENSG00000278558.5",6.07825132369293,6.9775488530878,5.85267951682127,5.97965784509373,7.06552290417311,6.3225676460691,6.75620055717918,6.43202666595942,6.78846115831029,6.46908549317183,6.90568006231852,7.4265606950105
"ENSG00000278576.1",7.71660812821595,7.8597836849858,7.71661608960767,7.40560746108762,7.20466038891718,7.21525810788183,7.61528714209908,7.54584483056258,7.19858478290581,7.73671747968787,7.78005114964252,7.50713333399767
"ENSG00000278588.2",7.84420437926207,7.79600050017937,7.96065208790874,8.23832485836835,7.66940795714603,8.31361748371205,7.52336284048342,8.34886563535998,7.51781976159447,8.79534163400584,7.61929602350577,8.07421440744409
"ENSG00000278590.1",5.69305448089656,5.80284667642557,6.34307375908808,5.92752680702982,5.82259704097208,6.00703077307119,6.00074006969286,5.81602028733508,5.96415621703253,5.85717145678054,6.0213691677593,5.67637909228821
"ENSG00000278599.6",5.15255379677431,5.15255379677431,5.15255379677431,8.46929912238229,5.15255379677431,5.15255379677431,5.48928702524227,5.51818082938421,5.15255379677431,5.15255379677431,5.15255379677431,5.15255379677431
"ENSG00000278600.1",10.2666418667082,10.8099415795065,10.6245129313979,11.1432119442356,10.2285670066281,10.6669079121444,10.8476765545032,11.2156113609102,11.1832067085007,10.1960373383892,10.8127324844132,10.0765264347875
"ENSG00000278601.1",6.93904098004348,6.54023022256371,6.75844560030203,6.49414719700335,5.93567960810674,6.64370082387134,6.26899821534582,6.602333411735,6.56635707062719,6.05642391270651,6.5634021477151,6.36992839426789
"ENSG00000278607.2",6.4658998577369,5.80284667642557,6.25898650730748,6.15894551978865,6.09199182471406,5.15255379677431,6.29184625652662,6.10510598973745,6.48115456135192,5.8175923234853,6.36398938368132,6.41941709428514
"ENSG00000278615.5",8.52951202737916,8.56113716812753,8.70433812690219,8.86076685046748,9.0026421026145,9.22567666240239,8.62554935271733,8.78502116897098,8.78264320687573,8.62529251055699,8.88387087437833,8.81368837674197
