"","4","13","10H","11H","13H","25H","26H","28_27H","9H"
"ENSG00000149646.12",6.93884474661659,6.44038807042066,6.53014619656776,6.47979064347456,6.65038452450475,6.30734106118002,7.15785595408373,6.30395828699215,6.96475715436551
"ENSG00000149656.8",5.64162089613393,6.41959176303385,6.32209752266034,6.6896481038605,6.38373827944548,5.64162089613393,6.04667472413641,5.64162089613393,6.45687035611812
"ENSG00000149657.20",10.5600061413954,10.5041432783542,10.8693441676669,11.1678356502274,10.6534698779093,10.9167253360703,10.8512467734808,10.9061092911414,10.4882194432695
"ENSG00000149658.18",10.7282838479729,10.6860742656412,10.5918214798402,10.8258663674496,10.8149829515247,10.6119033085899,10.5568795704089,10.9053034577726,10.6344541921164
"ENSG00000149679.12",8.91231923251097,8.77709738693204,8.62532271275141,8.90063976665026,8.93526787075296,9.08663165866173,8.54077190671191,8.53318638428914,8.05784297427021
"ENSG00000149716.13",10.7239557914798,10.3324119405027,10.4524662912797,10.5447086782462,10.159613580347,10.2319491568086,10.498753735975,10.3777521511591,10.7827095206606
"ENSG00000149743.14",8.27064893568474,8.18181758730892,8.15201972019477,8.81072013178438,8.21126756964527,8.31299431033129,8.71671194203258,8.65511328183808,8.60332944662547
"ENSG00000149761.9",9.43367702046241,9.74605523505799,10.2130586701899,9.84836648261365,9.91626798190842,10.0406162342974,9.98641278925887,10.0442291774762,10.1100640152367
"ENSG00000149781.13",12.4302730116291,12.8921031723483,12.8384012298804,12.9425975024292,12.8398067424969,13.4601213395087,12.6560183008116,12.9823208567067,12.3610966692688
"ENSG00000149782.13",9.56821797068284,9.69357176166532,9.39034447614286,9.26365667233643,9.55583228337604,9.65690006711363,9.75728028578423,9.43608811102156,9.60753040689888
"ENSG00000149792.9",9.53140762670437,9.82859365027589,10.268337851708,10.0313910969262,9.91507832727028,9.58842830183743,10.0226589952895,10.0559127555375,10.1892143412482
"ENSG00000149798.5",10.5757064793913,11.2747011300358,11.0552625757777,10.683660984855,11.3364624701321,11.4802094493668,10.4195009506156,11.7656536952435,10.2173102044939
"ENSG00000149806.11",10.9921209910219,11.6773281888896,11.816365136093,11.5151128801605,11.8266787722014,11.9232422172758,11.8827003026977,11.6087520439277,12.9360717910646
"ENSG00000149809.17",8.64673151272298,8.02503184963293,7.98614147636855,8.16959269988294,8.23493844708906,8.22047560223732,8.02006111133948,8.73821963315746,8.25414962536533
"ENSG00000149823.9",11.5026354367716,11.9687086018293,12.0241146275125,11.7094922113744,11.8031368010682,11.4544746586264,11.6671903100893,11.6688370736934,12.1194852213393
"ENSG00000149922.12",7.22050137264094,6.87602555588701,7.06234981402231,6.72609698454967,6.97912951236205,6.85229781930477,6.998783138057,6.65573657764046,6.68024196894411
"ENSG00000149923.14",11.0144369278423,11.6482783006828,11.5721065240735,11.6369807840092,11.7148495247881,12.1648984315493,11.4641601044611,11.8630295916151,11.0945596167212
"ENSG00000149925.22",13.4411596902571,14.105189089251,14.0212577165736,14.2732595796605,14.2693178686843,14.7893758108422,13.7163615772576,14.1760579383702,13.5512372846154
"ENSG00000149927.18",5.64162089613393,6.19501984625371,6.59543899337472,6.57023756838114,6.24086616327938,5.64162089613393,6.27897711073034,5.64162089613393,5.96093134910946
"ENSG00000149929.16",8.48970886907497,8.40747136149728,8.82433957672614,8.61915806308953,8.44822987487124,8.04850061893021,8.85440169581437,8.4856632720011,8.79085128534042
"ENSG00000149930.18",11.3972373270329,11.4079315605748,11.5093371471006,11.3485248968119,11.4758032317937,11.6758352947693,11.3510824355974,11.6323086759224,11.2850845665488
"ENSG00000149932.17",9.64830606866033,9.87261682801096,10.4224666578831,9.81763815252164,9.89107573179138,10.1114605833562,9.88704704611754,9.89606614016412,10.0034174965836
"ENSG00000149970.16",9.42834330398684,8.97455321527734,8.46782345652108,9.05938702836176,8.56693390050815,8.01410026165816,8.5446729144448,8.49442563987193,8.81494816698591
"ENSG00000150045.12",7.37567814854428,7.64828971651993,7.59142195930614,7.20092737128855,7.89929344672012,6.8705846628904,7.96760950359652,7.84079617174475,8.05324245253029
"ENSG00000150048.10",7.51308390823087,7.92647067617499,7.1003886939216,6.93402132393462,6.90086844579987,7.7273235377101,6.79543146785251,6.76994667334766,6.63376480983856
"ENSG00000150054.19",10.434468855939,10.4169146750111,10.35486047287,10.1055050636651,10.32803085676,10.7351665785852,10.2952025746699,10.4369800746426,10.2399851282929
"ENSG00000150093.20",13.0519186255881,12.9168235455997,12.9224223072279,13.0892034663546,12.8705846589391,13.223127500706,13.3352914339613,13.1653235528664,13.4544075717052
"ENSG00000150281.7",5.64162089613393,6.37606177938095,6.57424993643262,6.37694562825045,6.50158252135895,6.52335642749965,6.55731873228127,6.33569011249991,6.27641293180027
"ENSG00000150316.12",9.03373698812532,8.62304601635917,8.7283567649296,8.5489969836928,8.69327201742297,9.27610175720692,8.99404469963868,8.89428274565021,9.38957765897401
"ENSG00000150337.14",9.65971467130014,10.5237307946427,10.0217913941106,9.37704156841624,9.93751482999722,10.8729728342443,9.01091820244552,9.59705373418085,8.86962065554409
"ENSG00000150347.17",11.6529725824612,11.2679469356003,11.0608333654613,11.040193884482,11.1648250209508,10.7653992594284,11.988465286022,11.1135825641295,11.437245497767
"ENSG00000150401.15",8.84544620462014,9.23605542404214,9.20795156362385,9.04821940188509,8.99773689357212,9.03085569078571,8.98268289574762,9.05837252021197,8.2738764885669
"ENSG00000150403.18",10.7207011920191,11.1310852973716,10.3661634720627,10.7058636328053,10.9676613197291,11.3835144700785,10.6470438014106,10.8809164553822,10.3938253563333
"ENSG00000150433.10",9.1649831631845,8.96975886426744,9.25517475820134,9.10589206678918,9.17813790205572,9.57478870166357,9.10029281951612,9.27235169948916,9.14488034020151
