GeneSymbol	B cells	Plasma cells	T cells CD8	T cells CD4	NK cells	Monocytes	Dendritic cells	Mast cells	Eosinophils	Neutrophils
ABCA2	1	0.860607572119712	0.862369932486625	1	0.547806928811064	0.463858988617054	1	0.951643580305984	1	0.306748723688788
ABCA3	1	1	0.680327570731906	1	0.309123679426965	1	0.888688854320939	0.59482202862945	1	0.717237761168345
ABCA4	0.616370156594827	0.963196366782409	1	1	1	1	1	1	0.998571744622263	0.965958195569321
ABCA5	0.501925828099061	1	0.831149672703403	0.437148426917594	0.347897190384492	1	1	0.431372838931367	1	0.327260189612622
ABCA6	0.520344070399292	1	0.915046885348153	1	1	0.316801239934967	1	1	0.99794102284005	0.818776788124376
ABCA7	0.922220756985984	1	1	1	0.669843010497026	0.648614344469097	1	1	0.57105615117522	0.100747171123172
ABCA9	1	1	1	1	1	0.454675496938367	1	0.56756014735719	0.765207638053151	0.747961524270943
ABCA9.AS1	1	1	1	1	0.675373226006272	1	1	1	1	1
ABCB1	0.578677203794641	1	0.707590064122763	1	0.676352108529523	1	0.76981331651267	0.139482548642319	1	0.531816353813287
ABCB10	1	0.829667481182531	1	1	1	0.58924975526321	0.628609226768727	0.344329443189272	1	0.733480736439822
ABCB10P1	1	1	0.989029504749236	1	1	1	0.844333133696507	1	0.941632012907235	1
ABCB10P3	1	1	0.218788004466728	1	1	1	1	0.752326445633251	1	1
ABCB11	1	0.777473772385344	1	1	1	1	1	1	1	0.195328773960783
ABCB4	0.0152379808440211	0.407917228249893	1	1	1	1	0.928957958621401	0.438092488599938	1	0.785446181346191
ABCB5	1	0.129554285643762	1	1	1	1	1	0.442777974802584	1	0.708919099061464
ABCB6	0.595830908246147	1	1	1	0.970050082382523	0.584662293424311	0.408068354954202	0.647341815302121	1	0.233047862313737
ABCB7	0.556133703869757	1	0.868605146277356	1	0.847846416164772	0.4705808471434	0.463701443343012	0.338645739066587	1	0.608237716178674
ABCB8	0.281781055566456	0.937851646692939	1	0.964057816273705	0.128923839626095	0.450894968039531	0.516898822967846	0.572950638206486	0.695663960356088	0.578900952135253
ABCB9	1	0.093242128762863	1	0.476356218018139	0.318330355203278	0.775114411701054	1	0.414847134977142	1	1
ABCC1	0.454963729690759	0.101412055399302	1	0.985541290088486	0.313090867906025	1	0.621952628435096	0.447420916560621	1	0.376547415965353
ABCC10	0.705935258047296	1	0.836653631488011	0.883060242014505	0.297106638442783	0.513665623501052	1	0.86877644358778	0.970248280386952	0.623765606436571
ABCC11	1	0.770101253836304	0.973570464717838	1	1	0.989317571115106	1	0.882749598479882	1	0.703968161591848
ABCC13	1	0.761197896574896	1	1	1	1	0.456554061954263	0.0475418683390074	1	0.654379183284556
ABCC2	1	1	0.785737154794741	1	0.764445275823043	0.826404141421032	0.510638413120525	0.998911227629877	1	0.072305598129498
ABCC3	0.793118943145613	0.169587594676665	1	1	0.975941278843068	0.966023611407634	1	0.893423189105852	1	0.492665804036579
ABCC4	1	0.94985263001943	1	1	1	0.798575582634556	0.232163569839221	0.109850237449233	1	0.552003409418542
ABCC5	0.638787671771448	0.982094063702222	0.703828150476219	0.908635019539146	0.997684786198783	0.878889517678252	1	0.486531830538587	1	0.0594249471002051
ABCC6	1	0.25152471741397	0.999317255257797	1	1	0.175065888328194	1	1	1	0.783816893054563
ABCC6P1	1	0.46815424604673	0.486911230999515	1	1	1	1	1	1	0.907126536472929
ABCC9	1	1	1	1	0.472796354449511	1	0.532886908063393	0.466103622218619	1	1
ABCD1	1	1	1	1	0.529668631568197	0.804197514141302	0.999322608497371	0.52509986650982	1	0.0630046546791068
ABCD2	0.643594620412059	1	0.272562122410561	0.262869852125323	0.878944672052383	1	0.804749154672414	0.707519154095023	1	0.550030358493979
ABCD3	0.283646986355816	1	0.315074012292285	1	0.285887237126361	0.234302093625398	1	0.43976570309376	1	0.0744693049693994
ABCD4	0.680585046439181	1	0.855595360466096	0.739340926534582	0.196164997743048	1	1	0.614536350559589	1	0.458558454878411
ABCE1	0.352923632276159	0.982042564077874	0.49355078876587	0.712833282473864	0.218479196642912	0.966541816551772	1	0.539120196541998	1	0.33092768271506
ABCF1	0.5543552723652	1	0.875386940722219	1	0.311589836744636	0.555874198673981	0.461035249997845	0.403399626901323	1	0.349082490137144
ABCF2	0.462814103019016	1	0.81007429583025	1	0.121024908875532	1	1	0.422281548310262	1	0.142174782115547
ABCF2.H2BE1	0.753294663110627	1	0.497801732858905	1	1	0.521614717259451	0.185864141437221	0.121547669782189	1	0.437132484172967
ABCF2P1	0.687536110519578	1	1	1	1	1	0.81895421375003	1	1	1
ABCF3	0.361123881242406	1	0.541872363704301	0.99411114578259	0.314356033967607	0.906609620108642	1	0.575935612031593	1	0.110605366682734
ABCG1	1	0.986658377130711	1	1	1	0.907499009713945	0.306078086347572	0.554615250063839	0.924643159287424	0.353317702101467
ABCG2	1	0.897169008653436	1	1	1	1	0.619667431026092	0.510499914020489	1	0.714699067582998
ABCG4	1	1	0.634357933577955	1	1	1	1	0.744122850694251	1	1
ABCG5	0.411323677938255	1	1	1	1	1	1	1	0.218622387370367	1
ABHD1	1	1	1	1	0.864236217401357	0.754870240623369	1	1	1	0.220274463918857
ABHD10	0.677491334339433	1	0.897667441545239	0.831387682802831	0.497279287062504	0.815145936966597	1	0.674706628478926	1	0.344256344429006
ABHD11	0.934632018063301	1	0.999498403448588	1	0.580487327068386	0.730905315369158	1	1	1	0.14801261856518
ABHD11.AS1	0.909960428132771	1	0.968995469728117	1	1	1	0.229454914433708	0.704239633652248	1	1
ABHD12	1	1	0.579811651114723	1	0.310774839576168	0.945673068566455	1	0.557375361424207	1	0.269957781394279
ABHD12B	1	1	0.639162248910943	1	1	1	0.997230081462116	0.652332113027415	1	0.933157421552667
ABHD13	0.72765418179185	1	0.813246608542547	1	0.708559768233382	1	0.907069971122826	0.426100853676521	1	0.0861995401120724
ABHD14A	1	1	0.559115061976988	0.914829394501693	0.455379204044371	1	1	0.773095799529863	1	0.676495529774906
ABHD14A.ACY1	0.866393445220529	1	1	1	0.883370742157327	1	0.274733445255893	0.785250681997239	0.836100431398201	1
ABHD14B	0.870690492041549	1	1	0.82896332583011	0.389476602995903	1	1	0.43586891159576	1	0.309267609034823
ABHD15	0.798008312767621	0.783735839409706	0.842986285078838	0.918877384525806	0.213994658860214	1	1	0.527652550796263	1	0.51142471562823
ABHD15.AS1	1	0.667059639903763	1	1	1	1	0.305105674528197	0.895979033941998	1	1
ABHD16A	1	0.903506587713045	1	1	0.354953446210898	1	1	0.904355774041235	1	0.0145152304246347
ABHD16B	1	1	0.975876446933884	1	0.932026643319139	1	1	0.215940081444018	0.541117599968501	1
ABHD17A	1	1	0.99338323857919	1	0.175256988088527	1	1	0.707097260942882	1	0.329433820339863
ABHD17AP1	0.749985711671172	1	0.366167733462628	1	0.478757239584685	1	1	0.562007488482707	1	1
ABHD17AP3	1	0.995302655503126	1	1	1	1	1	0.83862938288098	0.346431428771304	0.885264624999466
ABHD17AP4	0.377680573251255	1	1	1	1	1	1	0.683373340892564	1	1
ABHD17AP5	0.364525383499665	1	0.839350052322416	1	1	1	0.827555013705957	1	0.896387737113275	0.997961243129692
ABHD17AP6	0.183186247217201	1	1	1	1	1	1	1	1	0.840700565766757
ABHD17B	0.853418031896284	0.881073454776742	0.7418518302649	1	0.409516819473085	1	0.965816924725253	0.454717579491979	1	0.14340115947389
ABHD17C	1	1	1	1	0.727601932592524	1	0.672669514903651	0.505984600931909	0.616043654664191	0.294679951566453
ABHD18	0.950632094238133	1	0.845037657965825	1	0.297434534929341	0.95387596126277	1	0.411894539250462	0.843835686655749	0.0552353567614225
ABHD2	1	0.938280487354713	1	1	0.905057216098009	1	1	0.392106733851769	1	0.107535803452133
ABHD3	1	1	0.921002328929653	1	0.814159558802567	1	1	1	1	0.0430374362396203
ABHD4	1	1	0.96777433378089	1	0.838091077741757	1	1	0.699581145921446	1	0.0625220044320164
ABHD5	1	0.878708793533445	1	1	1	1	1	0.916768273930068	0.919041585640332	0.0589423282230907
ABHD6	1	1	0.842171335469342	0.858264955333925	0.524789998991096	1	1	0.0644342210813534	1	0.309341347119176
