GeneSymbol	B cells	Plasma cells	T cells CD8	T cells CD4	NK cells	Monocytes	Dendritic cells	Mast cells	Eosinophils	Neutrophils
ABCB6	231.26190620402	0	0	0	18.7055524193924	129.371457900928	4247.06631118068	518.152264278674	0	149.663055402524
ABCB7	1220.53319914363	0	453.578323629897	0	454.439668731535	813.940340191908	17839.4975782005	5199.35044207136	0	300.916114132904
ABCB8	2223.751599141	759.137903719863	0	48.6558584611618	3654.86024792091	838.64424393472	15524.9665368003	2994.25323650259	39708.9412956982	321.262382317198
ABCB9	0	5280.29502683118	0	240.757545348241	733.725429366554	98.1767870778152	0	1353.15396794705	0	0
ABCC1	8599.11747033816	92889.0809989599	0	109.888984003694	13399.1998532091	0	66172.6809148093	22742.3018760255	0	2893.14372000385
ABCC10	2155.59970794264	0	1561.99904691129	445.356682506537	6919.91220003753	2032.86683377296	0	2450.53192453335	10592.0883345225	795.280665347712
ABCC11	0	151.739222834737	4.76701214041267	0	0	0.787346945719374	0	41.5668034811148	0	11.6913559540652
ABCC13	0	1797.61828468398	0	0	0	0	10841.706566754	6710.26736654464	0	157.028506946641
ABCC2	0	0	229.661184805941	0	218.699086336575	75.6986265242435	4924.68687081771	2.2552021019101	0	338.308636020598
ABCC3	1066.39707513943	27399.5016171066	0	0	140.519911607507	93.9161769649867	0	1415.58985623947	0	794.946797692684
ABCC4	0	1811.64587877846	0	0	0	834.196366074527	85841.0722747416	25905.0047464962	0	1019.25854160788
ABCC5	3701.36691170713	844.591169824524	3976.62121645862	479.043997183029	26.1662439594169	650.387366061869	0	14318.8514297534	0	4409.24226123842
ABCC6	0	4158.55417391761	0.845785799490556	0	0	561.660452101708	0	0	0	57.9356412401302
ABCC6P1	0	100.291851853533	26.6482432626778	0	0	0	0	0	0	0.94839270836677
ABCC9	0	0	0	0	11.921055257733	0	105.538155992137	27.4427328706523	0	0
ABCD1	0	0	0	0	2542.5109648529	472.425340860052	34.8779688374468	5829.0440137063	0	1937.87573859383
ABCD2	1056.32438977713	0	3371.18070766521	1376.17684973513	397.810030931085	0	6595.50934707798	2225.21439357113	0	387.508356350489
ABCD3	1205.84603879812	0	1497.54833078364	0	1376.45710612725	728.595878520892	0	2242.63672360677	0	584.632682433907
ABCD4	1455.3993917688	0	852.793193904276	623.95327295294	5349.08701786515	0	0	4635.06317205978	0	746.524581765188
ABCE1	2025.53900710443	232.196237292814	1971.93598976492	421.861733902408	3105.02100266901	49.0656784817411	0	3459.43777736693	0	601.517847774849
ABCF1	2748.95552503754	0	963.980201764523	0	5445.64115853518	1486.15890927203	40239.6514525764	10149.7741094198	0	1242.72104693793
ABCF2	1482.71372695708	0	640.309389088054	0	3683.70477458726	0	0	4219.94057628342	0	858.72839152812
