GeneSymbol	B cells	Plasma cells	T cells CD8	T cells CD4	NK cells	Monocytes	Dendritic cells	Mast cells	Eosinophils	Neutrophils
ACTG1P15	1	1	1	1	1	1	1	1	1	1
ACTG1P16	1	1	1	1	1	1	1	1	1	1
ACTG1P17	1	1	1	1	1	1	1	1	1	1
ACTG1P2	1	1	1	1	1	1	1	1	1	1
ACTG1P20	1	1	1	1	1	1	1	1	1	1
ACTG1P22	1	1	1	1	1	1	1	1	1	1
ACTG1P24	1	1	1	1	1	1	1	1	1	1
ACTG1P25	1	1	1	1	1	1	1	1	1	1
ACTG1P3	1	1	1	1	1	1	1	1	1	1
ACTG1P4	1	1	1	1	1	1	1	1	1	1
ACTG1P9	1	1	1	1	1	1	1	1	1	1
ACTG2	1	1	1	1	1	1	1	1	1	1
ACTL10	1	1	1	1	1	1	1	1	1	1
ACTL11P	1	1	1	1	1	1	1	1	1	1
ACTL6A	1	1	1	1	1	1	1	1	1	1
ACTL6B	1	1	1	1	1	1	1	1	1	1
ACTL7B	1	1	1	1	1	1	1	1	1	1
ACTN1	1	1	1	1	1	1	1	1	1	0.97378699896544
ACTN1.DT	1	1	1	1	1	1	1	1	1	1
ACTN2	1	1	1	1	1	1	1	1	1	1
ACTN3	1	1	1	1	1	1	1	1	1	1
ACTN4	1	1	1	1	1	1	1	1	1	0.97378699896544
ACTN4P1	1	1	1	1	1	1	1	1	1	1
ACTR10	1	1	1	1	1	1	1	1	1	0.978816025873106
ACTR1A	1	1	1	1	1	1	1	1	1	1
ACTR1AP1	1	1	1	1	1	1	1	1	1	1
ACTR1B	1	1	1	1	1	1	1	1	1	1
ACTR2	1	1	1	1	1	1	1	1	1	0.97378699896544
ACTR3	1	1	1	1	1	1	1	1	1	0.97378699896544
ACTR3.AS1	1	1	1	1	1	1	1	1	1	1
ACTR3B	1	1	1	1	1	1	1	1	1	0.97378699896544
ACTR3BP4	1	1	1	1	1	1	1	1	1	1
ACTR3C	1	1	1	1	1	1	1	1	1	1
ACTR3P2	1	1	1	1	1	1	1	1	1	1
ACTR5	1	1	1	1	1	1	1	1	1	1
ACTR6	1	1	1	1	1	1	1	1	1	1
ACTR8	1	1	1	1	1	1	1	1	1	1
ACTRT3	1	1	1	1	1	1	1	1	1	1
ACVR1	1	1	1	1	1	1	1	1	1	1
ACVR1B	1	1	1	1	1	1	1	1	1	1
ACVR1C	1	1	1	1	1	1	1	1	1	1
ACVR2A	1	1	1	1	1	1	1	1	1	1
ACVR2B	1	1	1	1	1	1	1	1	1	1
ACVR2B.AS1	1	1	1	1	1	1	1	1	1	1
ACVRL1	1	1	1	1	1	1	1	1	1	1
ACY1	1	1	1	1	1	1	1	1	1	1
ACY3	1	1	1	1	1	1	1	1	1	1
ACYP1	1	1	1	1	1	1	1	1	1	1
ACYP2	1	1	1	1	1	1	1	1	1	1
ADA	1	1	1	1	1	1	1	1	1	1
ADA2	1	1	1	1	1	1	1	1	1	1
ADAD2	1	1	1	1	1	1	1	1	1	1
ADAL	1	1	1	1	1	1	1	1	1	1
ADAM10	1	1	1	1	1	1	1	1	1	0.97378699896544
ADAM11	1	1	1	1	1	1	1	1	1	1
ADAM12	1	1	1	1	1	1	1	1	1	1
ADAM15	1	1	1	1	1	1	1	1	1	1
ADAM17	1	1	1	1	1	1	1	1	1	0.97378699896544
ADAM19	1	1	1	1	1	1	1	1	1	0.97378699896544
ADAM1A	1	1	1	1	1	1	1	1	1	1
ADAM1B	1	1	1	1	1	1	1	1	1	1
ADAM20	1	1	1	1	1	1	1	1	1	1
ADAM20P1	1	1	1	1	1	1	1	1	1	1
ADAM21	1	1	1	1	1	1	1	1	1	1
ADAM21P1	1	1	1	1	1	1	1	1	1	1
ADAM22	1	1	1	1	1	1	1	1	1	1
ADAM23	1	1	1	1	1	1	1	1	1	1
ADAM28	1	1	1	1	1	1	1	1	1	1
ADAM29	1	1	1	1	1	1	1	1	1	1
ADAM30	1	1	1	1	1	1	1	1	1	1
ADAM32	1	1	1	1	1	1	1	1	1	1
ADAM33	1	1	1	1	1	1	1	1	1	1
ADAM7	1	1	1	1	1	1	1	1	1	1
ADAM8	1	1	1	1	1	1	1	1	1	0.97378699896544
ADAM9	1	1	1	1	1	1	1	1	1	1
ADAMDEC1	1	1	1	1	1	1	1	1	1	1
ADAMTS1	1	1	1	1	1	1	1	1	1	1
ADAMTS10	1	1	1	1	1	1	1	1	1	1
ADAMTS12	1	1	1	1	1	1	1	1	1	1
ADAMTS13	1	1	1	1	1	1	1	1	1	1
ADAMTS14	1	1	1	1	1	1	1	1	1	1
ADAMTS15	1	1	1	1	1	1	1	1	1	1
ADAMTS16.DT	1	1	1	1	1	1	1	1	1	1
ADAMTS17	1	1	1	1	1	1	1	1	1	1
ADAMTS2	1	1	1	1	1	1	1	1	1	1
ADAMTS20	1	1	1	1	1	1	1	1	1	1
ADAMTS3	1	1	1	1	1	1	1	1	1	1
ADAMTS4	1	1	1	1	1	1	1	1	1	1
ADAMTS5	1	1	1	1	1	1	1	1	1	1
ADAMTS6	1	1	1	1	1	1	1	1	1	1
ADAMTS7	1	1	1	1	1	1	1	1	1	1
ADAMTS7P1	1	1	1	1	1	1	1	1	1	1
ADAMTS7P3	1	1	1	1	1	1	1	1	1	1
ADAMTS7P4	1	1	1	1	1	1	1	1	1	1
ADAMTS9	1	1	1	1	1	1	1	1	1	1
ADAMTS9.AS2	1	1	1	1	1	1	1	1	1	1
ADAMTSL1	1	1	1	1	1	1	1	1	1	1
ADAMTSL2	1	1	1	1	1	1	1	1	1	1
ADAMTSL3	1	1	1	1	1	1	1	1	1	1
ADAMTSL4	1	1	1	1	1	1	1	1	1	0.978082439938078
ADAMTSL4.AS1	1	1	1	1	1	1	1	1	1	0.97378699896544
ADAMTSL4.AS2	1	1	1	1	1	1	1	1	1	1
ADAMTSL5	1	1	1	1	1	1	1	1	1	1
ADAP1	1	1	1	1	1	1	1	1	1	1
ADAP2	1	1	1	1	1	1	1	1	1	1
ADAR	1	1	1	1	1	1	1	1	1	0.97378699896544
ADARB1	1	1	1	1	1	1	1	1	1	1
ADARB2	1	1	1	1	1	1	1	1	1	1
ADARB2.AS1	1	1	1	1	1	1	1	1	1	1
ADAT1	1	1	1	1	1	1	1	1	1	1
ADAT2	1	1	1	1	1	1	1	1	1	1
ADAT3	1	1	1	1	1	1	1	1	1	1
ADCK1	1	1	1	1	1	1	1	1	1	1
ADCK2	1	1	1	1	1	1	1	1	1	1
ADCK5	1	1	1	1	1	1	1	1	1	1
ADCY1	1	1	1	1	1	1	1	1	1	1
ADCY10	1	1	1	1	1	1	1	1	1	1
ADCY10P1	1	1	1	1	1	1	1	1	1	1
ADCY2	1	1	1	1	1	1	1	1	1	1
ADCY3	1	1	1	1	1	1	1	1	1	1
ADCY4	1	1	1	1	1	1	1	1	1	0.97378699896544
ADCY5	1	1	1	1	1	1	1	1	1	1
ADCY6	1	1	1	1	1	1	1	1	1	1
ADCY6.DT	1	1	1	1	1	1	1	1	1	1
ADCY7	1	1	1	1	1	1	1	1	1	1
ADCY9	1	1	1	1	1	1	1	1	1	1
ADCYAP1	1	1	1	1	1	1	1	1	1	1
ADCYAP1R1	1	1	1	1	1	1	1	1	1	1
ADD1	1	1	1	1	1	1	1	1	1	1
ADD2	1	1	1	1	1	1	1	1	1	1
ADD3	1	1	1	1	1	1	1	1	1	1
ADD3.AS1	1	1	1	1	1	1	1	1	1	1
ADGB	1	1	1	1	1	1	1	1	1	1
ADGB.DT	1	1	1	1	1	1	1	1	1	1
ADGRA1	1	1	1	1	1	1	1	1	1	1
ADGRA2	1	1	1	1	1	1	1	1	1	1
ADGRA3	1	1	1	1	1	1	1	1	1	1
ADGRB1	1	1	1	1	1	1	1	1	1	1
ADGRB2	1	1	1	1	1	1	1	1	1	1
ADGRB3	1	1	1	1	1	1	1	1	1	1
ADGRB3.DT	1	1	1	1	1	1	1	1	1	1
ADGRD1	1	1	1	1	1	1	1	1	1	1
ADGRD1.AS1	1	1	1	1	1	1	1	1	1	1
