"","10","10H","11","11H","13","13H","14","18","20","22","24","25","25H","26","26H","28","28_27H","4","5","6","7","9","9H"
"ENSG00000003249.15",8.3881247675752,7.67251595498087,7.2914701088993,7.65901097243992,7.43476608101172,7.16775947742199,6.9703985133678,7.6099397888284,7.64080757996209,7.6116401929466,7.322002810617,7.61993891381598,7.11008972515333,7.8401079266723,8.31840650032448,8.26134584822998,7.4519646933674,7.35975400818576,7.56636336809849,7.88280083481751,7.47658512323603,7.96602933980396,8.16759235883018
"ENSG00000003393.16",9.81078034450371,10.2202717145997,10.467769011172,10.4538417313748,10.2029364880563,10.0006531501524,10.6639547855305,10.2620208918466,10.0163706136181,10.3210853206671,10.4249348721445,10.0501719109242,10.1191877885283,9.95077685857732,10.4795433672867,10.0311516323923,10.4181610083659,9.95556265181374,10.2621427168166,10.1090285222375,10.2988195468729,10.2959278855974,10.11635010634
"ENSG00000003400.16",11.4120987494074,11.5650432048766,11.3017874321154,11.4079258646056,11.2607605160269,11.3323111562761,11.3540199168571,11.3921764736424,11.3437230500355,11.2733788159308,11.0790028208402,11.1432145848448,11.1018888056468,11.2860454479804,11.2945312485752,11.1476129331107,11.1056184607885,11.346291061705,11.1993364448153,11.1794137904304,11.3111552809301,11.1222519054139,11.3873790366106
"ENSG00000003402.21",15.2738964587319,15.0589285232459,15.6021526060441,15.3364735340493,15.6175167184747,15.3733195020153,15.4154957929826,14.8596353186134,15.0571148348374,14.9784143058525,15.3654462255912,15.3652311900704,16.2403685773646,15.0411088884181,15.0120647917535,15.2913546250013,15.5002465667084,15.3606188691819,15.4213379686277,15.4338245533612,16.114838020269,15.0396745052152,14.6872748951296
"ENSG00000003436.16",6.97662693285419,7.26925595834113,7.46506155799595,7.32041473536078,7.11688314098867,6.83685638301394,7.85905056706443,7.26887958265966,7.69427813421471,8.10881163843767,8.92778752152541,6.92591902725274,8.86283527536037,7.34921664632583,7.4441271189269,7.44397726981365,6.97412172179743,7.9300403861198,7.6039431693781,7.60530672087762,7.80009387917225,7.27825317804299,6.06929464488169
"ENSG00000003509.16",8.85844019176901,8.84896762362303,8.64170172541301,8.50550125016466,8.82716521467688,9.02766361518936,8.98187675426936,9.24197864172028,9.10551273811709,9.22153027713109,8.94700455101367,8.78083617199461,8.65227959955391,8.89186932997031,8.84278734824155,9.07264162193641,8.50122194196041,9.03370525210478,9.26242237773579,8.85312175532183,9.08770074992923,8.54857144625148,9.1128727029392
"ENSG00000003756.17",13.1476496692678,13.099771068174,13.2184989446557,13.1952297499253,13.2635330916533,13.1638538083581,13.1714319678448,13.0097788851071,13.1407241314102,13.1146782509315,13.1836583252025,13.1551568888315,13.35022861417,12.9766602245177,13.0585893209264,13.19239183166,13.2681881485378,13.2961713970834,13.2109972745995,13.0930484274791,13.4758572150045,12.9473269876547,13.0796910699754
"ENSG00000003987.14",6.02295776965699,5.43822996414948,5.43822996414948,5.43822996414948,5.93129915614788,5.63594549259189,5.43822996414948,5.43822996414948,5.43822996414948,5.43822996414948,5.43822996414948,5.43822996414948,6.11841438123438,5.43822996414948,5.43822996414948,5.43822996414948,6.28625925137719,5.43822996414948,5.67664179228829,5.67444994534921,5.43822996414948,6.20316834541,5.72224716021811
"ENSG00000004059.11",11.2518473435269,11.4056701317746,11.2356649003381,11.0575089744641,11.3576871380457,11.4310982770416,11.3755834273673,10.8657613962974,11.2031039125262,10.977990462686,11.5020958613148,11.2014460377686,11.8639177962109,11.0140732235885,11.1532144234675,11.3897883732364,11.1937497845461,10.4435483259974,10.7979546588474,10.9238865898363,11.5380943521389,11.2647364976746,11.0065896412348
"ENSG00000004139.14",10.9184085253628,11.0732553513265,10.3173990182648,11.3076898627536,10.6128843252764,10.8339827638493,10.6980109612983,10.9849849378633,10.8945128134598,10.9732725424875,10.4701603542732,10.8484223273857,10.4214845960827,10.6923173293344,10.9790717618772,11.0626650025595,10.7115757429752,11.026904773365,10.7106863303156,10.6162951671362,10.5164861073879,10.5720409679455,11.3529147363792
