"","4","11","12","13","14","19","20","27","28","10H","11H","13H","25H","26H","28_27H","9H"
"ENSG00000005075.16",9.10943662401531,9.58348788796816,9.64105806413256,9.82981494051567,10.1822942512491,9.99731104293789,9.70014493171365,9.58325852437178,9.92267371810241,9.72588599949902,9.29764356682463,10.0057214103006,10.1659888519948,9.32672010822155,9.2264368831715,9.70823757282933
"ENSG00000005100.13",9.68684259029645,9.42207883087256,9.63552971135624,9.52741902140156,9.51820593682087,9.31188324766813,9.44723020858545,9.59091225486344,9.55521845545027,9.5132303688328,9.24550841208624,9.50391066508506,9.55972373606891,9.71150522920712,9.70435966975934,9.43213591154657
"ENSG00000005102.14",6.90248807141867,7.10320182519864,7.46257040014448,7.11138376467654,6.8445759134206,7.39893882913863,7.10705968545249,6.93734216846151,7.03453454978138,7.38164941453506,7.93370355445725,7.55759658316918,6.9094707439962,7.40724946506487,6.98869389049332,7.34818509213621
"ENSG00000005108.17",7.14935169169137,8.03320250062418,6.45327280145486,6.9644241095686,6.7319714240569,6.26635549048285,6.45512387944822,6.40138056874532,6.36953152945855,5.67589067812934,6.58572915774877,5.94758963447467,8.47756110088224,7.93592564930316,6.47107651367088,6.06508521166244
"ENSG00000005156.12",10.4581686776494,10.609175625385,10.6560910819913,10.4272984512215,10.7041767134714,10.6333695181088,10.5560931785203,10.8063240022779,10.8481887289221,10.9465948443178,10.5634117919522,10.5250030352246,10.1451634291045,10.9264875012069,10.4312266832488,10.4932481830396
"ENSG00000005175.10",10.4111495498828,10.062676381755,9.8222177824849,9.95933589403517,9.84928223686526,9.98772181914648,9.90297044711648,10.3438971175894,10.1179678148911,10.345089161507,10.0884441472637,9.94163345558926,9.72118993987885,9.87971955232076,10.1994192245464,9.87763074305943
"ENSG00000005187.12",8.38454385768596,9.47244519649498,8.68446163197386,8.70401497161285,9.89581493308329,8.86171752243115,8.73876986898351,8.63031499950828,8.5639473046621,8.79131441624731,8.89543401980757,8.76007723011604,7.94467729832129,8.82720419200903,9.19942827845573,8.89115351630768
"ENSG00000005189.20",6.43623137871247,6.90268513612946,6.88432554338929,6.92421279958906,6.94538500262752,6.72026688544114,6.7143291118983,6.34430392323833,6.96171208824856,6.36229922310357,6.83834674585481,6.77128808497744,7.93627142010534,6.66494654657986,6.1208197847973,5.95150869412009
"ENSG00000005194.15",9.57812377956599,9.4981351002283,9.4541735047842,9.38676621449061,9.25554745473086,9.17305884804151,9.42436959691677,9.49624637568957,9.22065873241056,9.88598059524183,9.37115428856628,9.23713644750478,8.7630428203222,9.27707903126733,9.2144963691672,9.3492039787588
"ENSG00000005206.17",10.4877080078515,10.6891006484257,10.705583661849,10.428291732489,10.47405872135,10.3112509956045,10.549095683191,10.6072990125956,10.7781040904265,10.7851986378496,10.6851551651309,10.3438107778793,10.1025845314445,10.6496413065631,10.8159199054064,10.4866685872862
